Date,Company,Open,High,Low,Close,Volume
2023-01-01,AAPL,246.85197447730624,248.24224626299147,240.69329420743858,245.79412632023755,2825070.864130509
2023-01-02,AAPL,243.25137733458166,242.92345975263882,239.98862890679672,240.01200633252668,6688156.019501539
2023-01-03,AAPL,238.80809303968942,239.4378216982889,234.27090892417309,237.83873455446573,9121431.376656247
2023-01-04,AAPL,238.82577615155384,239.5165313846022,238.96586111196146,239.00471843131518,9906036.975276737
2023-01-05,AAPL,237.438975054143,238.97827886396777,238.2311016563451,238.62362337008994,7276297.395254837
2023-01-06,AAPL,246.46308102235125,250.25101173191948,243.19847707296773,247.07645703298078,7133463.368767015
2023-01-07,AAPL,244.67061214842062,246.92862898195318,245.16470686549548,245.23430434919368,1099342.7984498672
2023-01-08,AAPL,242.66978034137927,249.5401440214354,238.69018928883523,243.21878139093806,5946281.273205456
2023-01-09,AAPL,239.54112928476943,241.92848527937494,239.2732514082966,239.6265341792727,9586584.687246254
2023-01-10,AAPL,239.1919326607942,243.71576828026895,238.25769275693173,239.81794299366018,6761243.579835385
2023-01-11,AAPL,237.92868888863578,242.19278419869318,237.8439922146996,238.23189688974696,9261610.718194705
2023-01-12,AAPL,230.07617746868019,233.52478348772104,229.63467744174628,231.23339640043744,9060279.081461113
2023-01-13,AAPL,231.88099410367053,231.6997277478176,226.10508614800725,231.0873887610788,9539157.124402907
2023-01-14,AAPL,225.81078531210264,226.9576634189693,222.88925417295363,225.46806237843367,6971393.922126819
2023-01-15,AAPL,221.09657610782907,227.1938932428305,222.84431213621704,224.08131425612095,7130950.622809309
2023-01-16,AAPL,225.98610528863597,230.23074220859047,223.0212330380317,224.48488240125928,4568851.737513648
2023-01-17,AAPL,225.1724089093717,227.7791519616083,227.36362344426996,227.52035152705133,1724900.5329968194
2023-01-18,AAPL,226.1116271509218,227.04180181932819,223.32785769057904,226.2310945779511,1095160.4862782585
2023-01-19,AAPL,225.3271695194349,227.97625071482256,223.8128690351783,226.41675155544704,5834773.780528608
2023-01-20,AAPL,230.6588330329864,231.8340419535419,227.86452811532538,227.96947566041857,5678525.941330692
2023-01-21,AAPL,227.60667313605333,230.0855612068369,228.08013097353106,228.49536722684513,6792925.37463593
2023-01-22,AAPL,229.3244239106606,230.27715400858693,225.11238594642535,229.59193990924354,7513066.439304292
2023-01-23,AAPL,228.89731724047832,231.0009541897263,229.6191591714547,229.82669276118912,7603621.075652918
2023-01-24,AAPL,230.09316187600652,230.61030213976596,229.8944060612238,230.29896521213743,8721917.694018206
2023-01-25,AAPL,236.64892842107096,235.31522828117002,235.1195979726176,235.1227176100118,6603991.7536243675
2023-01-26,AAPL,240.15267043059995,242.1234864021726,239.12935605743507,241.5907031143819,7119525.885874353
2023-01-27,AAPL,241.06383460370736,242.5513325738434,239.99640202284468,240.56252256270704,7287147.596100179
2023-01-28,AAPL,234.0176237130743,237.48066258555033,231.18523117176213,233.1181206194597,3561079.637428299
2023-01-29,AAPL,228.69065880806997,231.12833477500914,228.49874319410486,229.0692588536894,2275944.924613066
2023-01-30,AAPL,230.1753425034406,235.31836897077432,229.87421342001457,230.64683912782175,2037211.9991071224
2023-01-31,AAPL,238.121642336562,236.30400879532004,235.36359706151526,235.8046718998787,9093744.795634933
2023-02-01,AAPL,236.46936230708255,238.0287763786056,235.789261260774,236.6018991002906,1198992.8192085214
2023-02-02,AAPL,237.6439007547837,238.42613752233794,235.496320020185,237.82751442906795,9535586.545157803
2023-02-03,AAPL,234.19585763865487,237.24198387017663,235.34035551002117,235.34300253318077,1716095.427098142
2023-02-04,AAPL,231.79705837642976,232.07224887845274,229.76886523601803,231.91969076839146,6599345.583091104
2023-02-05,AAPL,227.8443022700681,228.85018809058738,226.47464940655826,228.53560843177544,1466470.4648359092
2023-02-06,AAPL,225.73799829065982,225.66031565556085,224.21591808856485,225.60575902853964,7722630.245953754
2023-02-07,AAPL,226.65501032901025,228.30772426593342,225.92794018863682,227.14402351968315,9216580.563119058
2023-02-08,AAPL,232.71286590045094,236.28502993753327,232.79247824828118,232.89347913125582,9149887.987382349
2023-02-09,AAPL,222.54329172829338,224.92364212333663,224.23824128866855,224.32943035439237,3983228.363013575
2023-02-10,AAPL,228.91755384144778,230.06744560413574,224.78002744214973,229.4950412250639,8707746.073133636
2023-02-11,AAPL,237.35461779636654,238.38682728721733,234.87336619297525,235.59206782133458,9713528.203118086
2023-02-12,AAPL,236.76594323433946,238.3947259637467,236.9413278100314,238.04527799785865,6040273.60000446
2023-02-13,AAPL,239.14123233735614,241.76653863656807,238.56827676301702,239.7302693693869,7307480.592546927
2023-02-14,AAPL,248.23412496294253,248.9323225270491,243.92903254090757,248.11275287688142,9928206.41178504
2023-02-15,AAPL,244.7668454246496,246.2807443401515,244.7774102207315,245.0876795051534,4062430.5827481453
2023-02-16,AAPL,245.97372747059083,249.38018849103864,245.22994040219106,245.4064426721463,5528746.830694442
2023-02-17,AAPL,250.52857399118028,249.98374018629988,248.88872471841051,249.6633305197959,4820336.070674736
2023-02-18,AAPL,251.19178684677084,252.3493533420018,244.4677609918084,248.90543117731454,5462717.051564422
2023-02-19,AAPL,240.46202523343246,245.47741776595427,242.04799970519753,242.76504733965754,8924012.039646046
2023-02-20,AAPL,244.94558724606034,249.26033198518402,243.21582195161176,247.3164983014175,4742003.102081558
2023-02-21,AAPL,245.18274246117957,248.19695905826262,242.8970014686368,244.4122428058717,8060822.036077142
2023-02-22,AAPL,240.33894232156752,242.81066408725286,237.4655616918021,240.7111222996348,6028853.0730384495
2023-02-23,AAPL,237.02204518202112,238.7479224370988,237.08726563700887,237.0982340424031,8085332.881444241
2023-02-24,AAPL,241.47063570671287,239.95091371211268,239.45130916004118,239.6237508954492,3761067.866833656
2023-02-25,AAPL,237.874115640714,239.1685674895054,236.2827201574027,237.604328778482,2061735.1853664473
2023-02-26,AAPL,238.2057155882164,238.51186358577712,236.36369878204545,237.26750025408427,4918176.1818159325
2023-02-27,AAPL,241.88885928884463,245.73444407245933,236.37857629908632,240.56715650078306,9759073.037338268
2023-02-28,AAPL,239.51960786039936,238.9331195183888,236.11699163090316,237.35252547927652,2403515.6920681586
2023-03-01,AAPL,234.1665237325442,236.53647204565442,232.71976663011114,232.83813098257437,9449220.895390972
2023-03-02,AAPL,230.73048800020857,233.99633909328108,230.4280777443273,232.33174167861128,1933092.5614204784
2023-03-03,AAPL,228.76363376371145,230.01846060464604,226.36912656647164,228.1513209638935,3713323.568886601
2023-03-04,AAPL,223.37384054501476,225.10659859911704,219.54058967695838,223.17929877249392,2987724.9440431055
2023-03-05,AAPL,222.94967544306846,224.5703853770426,220.75801731340735,223.74440689117026,8389196.338634439
2023-03-06,AAPL,218.154085419501,225.57822405134937,219.31126833045502,220.5646659607275,2176119.687457528
2023-03-07,AAPL,220.15581547183766,223.10808935356135,219.73377551003173,220.76809735873937,6246242.141272334
2023-03-08,AAPL,222.6007582257642,222.52140535541497,219.88365426205957,220.88965841087972,5439639.753548586
2023-03-09,AAPL,221.70527198706165,221.20507934418714,218.5642851990365,220.7013232784045,5104477.04619307
2023-03-10,AAPL,227.75694251425682,228.1704058489355,223.45087962323464,226.7385074279489,1407907.8010610226
2023-03-11,AAPL,224.37399541606908,227.43235524782432,225.75083126106475,225.86928722769682,5380171.140216927
2023-03-12,AAPL,231.16742972220368,230.8678122362928,230.5518412350691,230.61814979435016,3559585.776337319
2023-03-13,AAPL,222.49783059795,225.34013047956557,221.54097521284257,223.5401527382366,9596993.152789287
